%d	D	B	C	C_0	P_u	v_ref	v_lim	mass
%[mm]	[mm]	[mm]	[N]	[N]	[N]	[rpm]	[rpm]	[g]
40	68	15	14600	11400	490	22000	14000	176.9
40	80	18	25100	17600	750	20000	12000	344.9
45	55	6	1460	1370	60	24000	15000	23.6
45	58	7	4940	5000	212	24000	14000	34.5
45	68	12	12100	10800	465	20000	13000	117.9
45	75	16	18200	15000	640	20000	12000	228.1
45	85	19	28100	20400	865	18000	11000	377
50	62	6	1530	1530	67	22000	13000	34.8
50	65	7	5070	5500	236	20000	13000	48
50	72	12	12500	11600	500	19000	12000	131.6
50	80	16	19000	16600	710	18000	11000	245.8
50	90	20	30200	23200	980	17000	10000	427.9
